5,512
5,714
5,2034
5,1433
5,84
5,2243
5,2037
5,594
5,259
5,2155
5,1504
5,1225
5,1094
5,43
5,1827
5,277
5,2142
5,1132
5,2144
5,1984
5,958
5,223
5,2341
5,1620
5,90
5,764
5,1486
5,110
5,828
5,2211
5,330
5,1051
5,2052
5,1720
5,1422
5,1525
5,382
5,546
5,1562
5,1969
5,1100
5,1875
5,1269
5,1953
5,143
5,1359
5,622
5,318
5,370
5,400
5,1526
5,1545
5,1259
5,1274
5,589
5,790
5,1663
5,1641
5,62
5,749
5,1657
5,2199
5,2243
5,113
5,1087
5,2264
5,1391
5,108
5,157
5,361
5,679
5,1271
5,2188
5,1734
5,699
5,971
5,1293
5,884
5,1470
5,1985
5,1819
5,1399
5,1020
5,664
5,1838
5,1558
5,165
5,1820
5,1834
5,1846
5,557
5,1681
5,2003
5,473
5,2114
5,730
5,894
5,207
5,1442
5,908
5,55
5,907
5,1044
5,1237
5,77
5,457
5,1273
5,1118
5,1689
5,1165
5,2024
5,863
5,636
5,2041
5,667
5,631
5,1713
5,1523
5,2024
5,1138
5,1117
5,1974
5,1540
5,306
5,128
5,1282
5,517
5,180
5,2081
5,1821
5,1391
5,1096
5,1733
5,1182
5,1736
5,1030
5,799
5,79
5,2338
5,2073
5,398
5,1383
5,2110
5,1813
5,1971
5,1212
5,114
5,978
5,1180
5,520
5,1782
5,2165
5,1657
5,677
5,657
5,252
5,121
5,265
5,2101
5,2115
5,2187
5,1800
5,375
5,679
5,921
5,16
5,2096
5,237
5,1698
5,482
5,1564
5,483
5,1961
5,768
5,1988
5,1859
5,52
5,1242
5,458
5,590
5,800
5,2297
5,175
5,1841
5,690
5,754
5,648
5,364
5,2007
5,2196
5,475
5,224
5,1389
5,67
5,1827
5,685
5,2047
5,4
5,1874
5,1676
5,784
5,1868
5,606
5,1559
5,978
5,1249
5,1006
5,1250
5,883
5,906
5,107
5,423
5,1926
5,1526
5,287
5,1584
5,1190
5,244
5,1621
5,403
5,1395
5,1351
5,1213
5,450
5,215
5,2098
5,1199
5,636
5,1162
5,163
5,429
5,1510
5,2270
5,1916
5,1071
5,2060
5,721
5,1104
5,506
5,1198
5,2319
5,790
5,1648
5,1212
5,801
5,1014
5,1161
5,1510
5,1216
5,386
5,2101
5,513
5,1638
5,1905
5,1000
5,1725
5,1958
5,449
5,1756
5,1350
5,1431
5,2167
5,1191
5,246
5,535
5,2012
5,256
5,1279
5,15
5,2206
5,1793
5,1174
5,2265
5,775
5,1630
5,1831
5,787
5,1441
5,1367
5,2222
5,160
5,2066
5,664
5,401
5,1923
5,1482
5,459
5,1708
5,1661
5,1760
5,1653
5,82
5,165
5,1561
5,1011
5,2118
5,1833
5,2222
5,801
5,413
5,840
5,582
5,1730
5,365
5,2210
5,973
5,659
5,1770
5,2304
5,1804
5,1773
5,334
5,1427
5,2336
5,708
5,1810
